"rfam_acc","description","clen"
"RF02146","Maternally expressed 8 exon 2",111
"RF02332","Tetrahymena snoRNA TtnuHACA25",111
"RF02528","Streptococcus sRNA SSRC41",111
"RF00035","OxyS RNA",110
"RF00140","Alpha operon ribosome binding site",110
"RF00199","SL2 RNA",110
"RF00377","Small nucleolar RNA U6-53/MBII-28",110
"RF00603","Small nucleolar RNA SNORD23",110
"RF00660","microRNA mir-214",110
"RF00664","microRNA mir-223",110
"RF00819","microRNA mir-246",110
"RF00846","microRNA mir-64",110
"RF00855","microRNA mir-254",110
"RF01033","microRNA mir-767",110
"RF01289","Small nucleolar RNA snoR17",110
"RF01517","iscR stability element",110
"RF01919","microRNA mir-1419",110
"RF01920","microRNA mir-764",110
"RF02002","microRNA mir-720",110
"RF02180","ST7 antisense RNA 1 conserved region 2",110
"RF02222","Xanthomonas sRNA sX2",110
"RF02450","Bacillus sRNA ncr1175",110
"RF02758","RhlA 5' UTR ROSE like thermometer",110
"RF02759","LasI 5' UTR ROSE like thermometer",110
"RF02865","Burkholderia sRNA 1",110
"RF02928","Actinomyces-1 RNA",110
"RF02786","Small nucleolar RNA TBR2",109
"RF02829","Streptomyces RNA 4115",109
"RF02994","IMPDH RNA",109
"RF03107","saliva-tongue-1 RNA",109
"RF00243","traJ 5' UTR",109
"RF00350","Small nucleolar RNA Z152/R70/R12/",109
"RF00529","Small nucleolar RNA Me28S-Am2589",109
"RF00647","microRNA MIR164",109
"RF00695","microRNA MIR398",109
"RF00812","microRNA mir-83",109
"RF01212","Small nucleolar RNA sn2524",109
"RF01216","Small nucleolar RNA snR87",109
"RF01609","Caenorhabditis snoRNA ceN103",109
"RF01685","6S-Flavo RNA",109
"RF01771","Enterobacteria rnk leader",109
"RF01780","AS1890 sRNA",109
"RF01812","Pxr regulatory sRNA",109
"RF01954","SOX2 overlapping transcript exon 4",109
"RF01964","Rhabdomyosarcoma 2 associated transcript conserved region 3",109
"RF02203","WT1 antisense RNA conserved region 1",109
"RF02341","Mycobacterium sRNA ncrMT1302",109
"RF02434","Streptococcus sRNA SpF39",109
"RF00034","RprA RNA",108
"RF00142","Small nucleolar RNA Z118/Z121/Z120",108
"RF00162","SAM riboswitch (S box leader)",108
"RF00327","Small nucleolar RNA Z194",108
"RF00378","Qrr RNA",108
"RF00442","Guanidine-I riboswitch",108
"RF00451","mir-395 microRNA precursor family",108
"RF01746","mraW RNA",108
"RF01772","Pseudomonas rnk leader",108
"RF01965","Rhabdomyosarcoma 2 associated transcript conserved region 4",108
"RF02055","Enterobacterial sRNA STnc380",108
"RF02158","NPPA antisense RNA 1 conserved region 3",108
"RF02284","Tetrahymena snoRNA TtnuCD7",108
"RF02302","Tetrahymena snoRNA TtnuCD26",108
"RF02496","Rhizobiales sRNA Atu_At1",108
"RF02755","ES222 sRNA",108
"RF02941","COG3943 RNA",108
"RF02962","DUF3800-III RNA",108
"RF02770","Yersinia sRNA 224",107
"RF02955","EGFOA RNA",107
"RF03113","Poribacteria-1 RNA",107
"RF03114","RT-1 RNA",107
"RF00097","Plant small nucleolar RNA R71",107
"RF00313","Small nucleolar RNA Z173",107
"RF00779","microRNA MIR474",107
"RF01026","microRNA MIR828",107
"RF01511","A. fumigatus snoRNA Afu_304",107
"RF01651","Caenorhabditis snoRNA ceN69",107
"RF01830","Salmonella enterica Typhi npcRNA 44",107
"RF01873","Polled intersex syndrome regulated transcript 1",107
"RF01897","microRNA mir-188",107
"RF02483","Small nucleolar RNA GlsR20",107
"RF02508","Rhizobiales sRNA Atu_Ti4",107
"RF02569","IhtA sRNA",107
"RF00081","ArcZ RNA",106
"RF00130","mir-192/215 microRNA precursor",106
"RF00304","Small nucleolar RNA Z279/snoR105/snoR108",106
"RF00509","Small nucleolar RNA snR64",106
"RF00673","microRNA mir-217",106
"RF00683","microRNA mir-143",106
"RF00810","microRNA mir-85",106
"RF01208","Small nucleolar RNA snoR99",106
"RF01213","Small nucleolar RNA snoR103",106
"RF01215","Small nucleolar RNA snoR97",106
"RF01485","Listeria sRNA rli61",106
"RF01515","A. fumigatus snoRNA Afu_514",106
"RF01529","Cauldobacter sRNA CC3552",106
"RF01572","Dictyostelium snoRNA DdR4",106
"RF01742","lactis-plasmid RNA",106
"RF01853","Mitochondrial DNA control region secondary structure A",106
"RF01896","microRNA mir-142",106
"RF01918","microRNA mir-1249",106
"RF01932","Bithoraxoid conserved region 4",106
"RF02093","mir-2968 microRNA precursor",106
"RF02274","AniS",106
"RF02335","Giardia snoRNA GlsR2/miRNA miR4",106
"RF02426","Streptococcus sRNA SpF03",106
"RF02547","Permuted mitochondrial genome encoded 5S rRNA",106
"RF02947","cow-rumen-2 RNA",106
"RF03103","RAGATH-34 RNA",106
"RF02813","Pseudomonas PA5194 thermometer",105
"RF02954","DUF3577 RNA",105
"RF02982","gltS RNA",105
"RF03088","Parabacteroides-1 RNA",105
"RF00059","TPP riboswitch (THI element)",105
"RF00795","microRNA mir-43",105
"RF00820","microRNA mir-248",105
"RF00900","microRNA mir-255",105
"RF00954","microRNA MIR1446",105
"RF01588","small nucleolar RNA snoR13",105
"RF01872","Maternally expressed 3 conserved region 2",105
"RF01917","microRNA MIR2587",105
"RF01944","microRNA mir-2518",105
"RF01997","microRNA mir-969",105
"RF02006","microRNA mir-1253",105
"RF02009","microRNA mir-987",105
"RF02127","GNAS antisense RNA 1 conserved region 1",105
"RF02269","Heliobacter pylori small RNA HPnc0580",105
"RF02435","Streptococcus sRNA SpF41",105
"RF02520","mir-965 microRNA precursor family",105
"RF02530","Ure2 internal ribosome entry site (IRES)",105
"RF00026","U6 spliceosomal RNA",104
"RF00218","Small nucleolar RNA SNORD46",104
"RF00477","Small nucleolar RNA snR66",104
"RF00632","sxy 5' UTR element",104
"RF00674","microRNA mir-187",104
"RF00863","microRNA mir-BART17",104
"RF00878","microRNA mir-456",104
"RF01210","Small nucleolar RNA U13",104
"RF01211","Small nucleolar RNA SNORD124",104
"RF01712","Methylobacterium-1 RNA",104
"RF01723","Rhizobiales-2 RNA",104
"RF01729","Termite-flg RNA",104
"RF01760","traJ-II RNA",104
"RF01922","microRNA mir-654",104
"RF01945","microRNA mir-1388",104
"RF02220","ZNRD1 antisense RNA 1 conserved region 3",104
"RF02317","Tetrahymena snoRNA TtnuHACA10",104
"RF02385","Staphylococcus sRNA sau-13",104
"RF02719","Small Cajal body specific RNA ncR20",104
"RF02820","Vibrio RNA AS9",104
"RF02892","Bacillus SR6 antitoxin",104
"RF03011","Methylophilales-1 RNA",103
"RF03026","RT-5 RNA",103
"RF03049","RAGATH-24 RNA",103
"RF00198","SL1 RNA",103
"RF00388","Anti-Q RNA",103
"RF00685","microRNA mir-36",103
"RF00815","microRNA mir-244",103
"RF00850","microRNA mir-259",103
"RF01207","Small nucleolar RNA snR73",103
"RF01420","Small nucleolar RNA snoR113",103
"RF01505","A. fumigatus snoRNA Afu_264",103
"RF01514","A. fumigatus snoRNA Afu_513",103
"RF01895","microRNA mir-193",103
"RF02329","Tetrahymena snoRNA TtnuHACA22",103
"RF00106","RNAI",102
"RF00144","mir-199 microRNA precursor",102
"RF00167","Purine riboswitch",102
"RF00646","microRNA mir-204",102
"RF00656","microRNA mir-205",102
"RF00663","microRNA mir-183",102
"RF00713","microRNA mir-239",102
"RF00714","microRNA MIR535",102
"RF00728","microRNA mir-81",102
"RF00859","microRNA mir-234",102
"RF01065","23S methyl RNA motif",102
"RF01720","Pseudomon-Rho RNA",102
"RF01978","HOX antisense intergenic RNA myeloid 1 conserved region 4",102
"RF02007","microRNA mir-1237",102
"RF02432","Streptococcus sRNA SpF25",102
"RF02437","Streptococcus sRNA SpF44",102
"RF02494","Giardia U6 spliceosomal RNA",102
"RF02573","Lactococcus lactis non-coding RNA 147",102
"RF02680","PreQ1-III riboswitch",102
"RF02697","LDH1 5'UTR",102
"RF02764","Yersinia sRNA 190",102
"RF02794","Pab19 RNA",102
"RF02978","folP RNA",102
"RF02983","Fibrobacter-1 RNA",102
"RF03048","RAGATH-20 RNA",102
"RF02789","Small nucleolar RNA TBR12",101
"RF02902","Aggregatibacter sRNA 22",101
"RF02972","engA RNA",101
"RF00006","Vault RNA",101
"RF00335","Small nucleolar RNA Z13/snr52",101
"RF00374","Gammaretrovirus core encapsidation signal",101
"RF00475","Small nucleolar RNA snR69",101
"RF00643","microRNA MIR171_1",101
"RF00730","microRNA mir-277",101
"RF00817","microRNA mir-80",101
"RF00824","microRNA mir-50",101
"RF00959","microRNA mir-612",101
"RF01034","microRNA mir-618",101
"RF01209","Small nucleolar RNA snR76",101
"RF01426","small nucleolar RNA snoR126",101
"RF01764","yjdF RNA",101
"RF02100","Translational regulator of tfoXVC",101
"RF00111","SdsR_RyeB RNA",100
"RF00138","Small nucleolar RNA SNORD16",100
"RF00149","Small nucleolar RNA Z103",100
"RF00330","Small nucleolar RNA Z43",100
"RF00333","Small nucleolar RNA Z157/R69/R10",100
"RF00434","Luteovirus cap-independent translation element (BTE)",100
"RF00481","Hepatitis C virus 3'X element",100
"RF00513","Tryptophan operon leader",100
"RF00694","microRNA mir-137",100
"RF00729","microRNA mir-278",100
"RF00786","microRNA mir-289",100
"RF00789","microRNA mir-286",100
"RF00822","microRNA mir-274",100
"RF00828","microRNA mir-75",100
"RF00831","microRNA mir-73",100
"RF00845","microRNA MIR158",100
"RF00911","microRNA mir-672",100
"RF00914","microRNA mir-674",100
"RF00936","microRNA mir-744",100
"RF00978","microRNA mir-638",100
"RF00992","microRNA mir-593",100
"RF01038","microRNA mir-1307",100
"RF01064","microRNA mir-253",100
"RF01204","Small nucleolar RNA snR65",100
"RF01205","Small nucleolar RNA snR62",100
"RF01214","Small nucleolar RNA snR51",100
"RF01288","Small nucleolar RNA snoR31",100
"RF01483","Listeria sRNA rli56",100
"RF01498","A. fumigatus snoRNA Afu_190",100
"RF01623","Caenorhabditis sRNA ceN23-1",100
"RF01831","THF riboswitch",100
"RF01913","microRNA mir-2778",100
"RF01982","Pyrrolysine insertion sequence 1",100
"RF01986","ZEB2 antisense RNA 1 conserved region 3",100
"RF02046","Sphinx_ conserved region 1",100
"RF02420","Burkholderia sRNA Bp1_Cand612_SIPHT",100
"RF02479","Small nucleolar RNA GlsR13",100
"RF02509","Pyrrolysine insertion sequence mtbB",100
"RF02510","Pyrrolysine insertion sequence mttB",100
"RF02511","Pyrrolysine insertion sequence TetR",100
"RF02512","Pyrrolysine insertion sequence transposase 1",100
"RF02513","Pyrrolysine insertion sequence transposase 2",100
"RF00293","Small nucleolar RNA snoM1",99
"RF00375","HIV primer binding site (PBS)",99
"RF00726","microRNA mir-87",99
"RF00734","microRNA mir-52",99
"RF00747","microRNA mir-283",99
"RF00760","microRNA mir-342",99
"RF00780","microRNA MIR477",99
"RF00805","microRNA mir-351",99
"RF00806","microRNA mir-350",99
"RF00857","microRNA mir-233",99
"RF00888","microRNA mir-770",99
"RF00949","microRNA mir-983",99
"RF00962","microRNA mir-586",99
"RF00987","microRNA mir-589",99
"RF01008","microRNA mir-636",99
"RF01040","microRNA mir-573",99
"RF01054","preQ1-II (pre queuosine) riboswitch",99
"RF01198","Small nucleolar RNA snoR69Y",99
"RF01463","Listeria sRNA rli27",99
"RF01899","microRNA mir-2241",99
"RF02150","MEST intronic transcript 1, antisense RNA conserved region 3",99
"RF02155","Non-protein coding RNA, upstream of F2R/PAR1 conserved region 2",99
"RF02430","Streptococcus sRNA SpF19",99
"RF02436","Streptococcus sRNA SpF43",99
"RF02439","Streptococcus sRNA SpF56",99
"RF02537","Vibrio ToxT activated RNA TarA",99
"RF02787","Small nucleolar RNA TBR4",99
"RF02875","Antisense to pHK01_035",99
"RF03073","RT-19 RNA",99
"RF03099","RAGATH-23 RNA",99
"RF02683","NiCo riboswitch",98
"RF00019","Y RNA",98
"RF00309","Small nucleolar RNA snR60/Z15/Z230/Z193/J17",98
"RF00356","Small nucleolar RNA R32/R81/Z41",98
"RF00361","Small nucleolar RNA Z119",98
"RF00678","microRNA mir-140",98
"RF00758","microRNA mir-346",98
"RF00794","microRNA mir-42",98
"RF00808","microRNA mir-86",98
"RF00837","microRNA mir-251",98
"RF00851","microRNA mir-230",98
"RF00856","microRNA mir-232",98
"RF00927","microRNA mir-582",98
"RF00937","microRNA mir-653",98
"RF00960","microRNA mir-661",98
"RF00984","microRNA mir-576",98
"RF00988","microRNA mir-657",98
"RF01002","microRNA mir-936",98
"RF01007","microRNA mir-624",98
"RF01028","microRNA mir-633",98
"RF01031","microRNA mir-639",98
"RF01202","Small nucleolar RNA sn2991",98
"RF01392","isrI Hfq binding RNA",98
"RF01458","Listeria snRNA rli23",98
"RF01575","Dictyostelium snoRNA Dd7",98
"RF01725","SAM-I/IV variant riboswitch",98
"RF01730","Termite-leu RNA",98
"RF01761","wcaG RNA",98
"RF01901","microRNA mir-284",98
"RF01906","HOTAIR conserved region 3",98
"RF02139","HOXA11 antisense RNA 1 conserved region 3",98
"RF02306","Tetrahymena snoRNA TtnuCD32",98
"RF02364","Cyanobacterial functional RNA 13",98
"RF02394","Staphylococcus sRNA sau-63",98
"RF02463","Mycobacterium sRNA Ms_AS-1",98
"RF02554","mt-5S-like P. polycephalum",98
"RF02641","S. pyogenes small RNA Spy490483c",98
"RF00127","t44 RNA",97
"RF00132","Small nucleolar RNA R24",97
"RF00169","Bacterial small signal recognition particle RNA",97
"RF00205","Small nucleolar RNA R41",97
"RF00288","Z30 small nucleolar RNA",97
"RF00353","Small nucleolar RNA snoR31/Z110/Z27",97
"RF00357","Small nucleolar RNA R44/J54/Z268 family",97
"RF00479","Small nucleolar RNA snR71",97
"RF00537","Small nucleolar RNA Me28S-Am2634",97
"RF00676","microRNA mir-127",97
"RF00761","microRNA mir-340",97
"RF00770","microRNA mir-330",97
"RF00785","microRNA mir-90",97
"RF00787","microRNA mir-288",97
"RF00798","microRNA mir-49",97
"RF00816","microRNA mir-245",97
"RF00826","microRNA mir-55",97
"RF00827","microRNA mir-77",97
"RF00835","microRNA mir-58",97
"RF00843","microRNA mir-228",97
"RF00872","microRNA mir-652",97
"RF00873","microRNA mir-550",97
"RF00905","microRNA mir-789",97
"RF00928","microRNA mir-590",97
"RF00948","microRNA mir-996",97
"RF00963","microRNA mir-642",97
"RF00972","microRNA mir-651",97
"RF00973","microRNA mir-597",97
"RF00980","microRNA mir-643",97
"RF00995","microRNA mir-616",97
"RF01000","microRNA mir-580",97
"RF01016","microRNA mir-584",97
"RF01029","microRNA mir-649",97
"RF01059","microRNA mir-598",97
"RF01075","Pseudoknot of tRNA-like structure",97
"RF01199","Small nucleolar RNA snR58",97
"RF01200","Small nucleolar RNA SNORD125",97
"RF02120","FTX transcript, XIST regulator conserved region 2",97
"RF02145","Maternally expressed 8 exon 1",97
"RF02214","microRNA mir-56",97
"RF02254","microRNA mir-35",97
"RF02991","GP20-a RNA",97
"RF03033","NLPC-P60 RNA",97
"RF02964","DUF3800-V RNA",96
"RF03095","RAGATH-17 RNA",96
"RF00046","Small nucleolar RNA R30/Z108",96
"RF00063","SscA RNA",96
"RF00115","McaS/IsrA RNA",96
"RF00183","G-CSF factor stem-loop destabilising element (SLDE)",96
"RF00185","Flavivirus 3' UTR cis-acting replication element (CRE)",96
"RF00255","mir-218 microRNA precursor family",96
"RF00358","Small nucleolar RNA Z101",96
"RF00679","microRNA mir-210",96
"RF00763","microRNA mir-339",96
"RF00765","microRNA mir-337",96
"RF00809","microRNA mir-241",96
"RF00830","microRNA mir-74",96
"RF00874","microRNA mir-BART12",96
"RF00879","microRNA mir-615",96
"RF00947","microRNA mir-929",96
"RF00961","microRNA mir-581",96
"RF00965","microRNA mir-549",96
"RF00968","microRNA mir-626",96
"RF00971","microRNA mir-578",96
"RF00974","microRNA mir-607",96
"RF00985","microRNA mir-640",96
"RF00990","microRNA mir-552",96
"RF01013","microRNA mir-577",96
"RF01018","microRNA mir-569",96
"RF01032","microRNA mir-554",96
"RF01044","microRNA mir-345",96
"RF01203","Small nucleolar RNA snR47",96
"RF01513","A. fumigatus snoRNA Afu_335",96
"RF01595","small nucleolar RNA snoR19",96
"RF01902","microRNA MIR439",96
"RF01914","microRNA mir-932",96
"RF01923","microRNA mir-711",96
"RF02008","microRNA mir-621",96
"RF02137","HOXA11 antisense RNA 1 conserved region 1",96
"RF02397","Staphylococcus sRNA sau-5971",96
"RF02402","A. fumigatus snoRNA Afu_263",96
"RF02552","RcsR1 sRNA",96
"RF02644","S. pyogenes small RNA Spy490380c",96
"RF00068","Small nucleolar RNA SNORD21",95
"RF00474","Small nucleolar RNA snR57",95
"RF00580","Small nucleolar RNA SNORD91 family",95
"RF00719","microRNA mir-326",95
"RF00724","microRNA mir-282",95
"RF00778","microRNA MIR473",95
"RF00801","microRNA mir-280",95
"RF00825","microRNA mir-344",95
"RF00834","microRNA mir-268",95
"RF00952","microRNA mir-650",95
"RF00969","microRNA mir-556",95
"RF00983","microRNA mir-662",95
"RF00991","microRNA mir-599",95
"RF00998","microRNA mir-562",95
"RF01001","microRNA mir-609",95
"RF01012","microRNA mir-628",95
"RF01036","microRNA mir-567",95
"RF01197","Small nucleolar RNA snR39",95
"RF01287","Small nucleolar RNA snoR27",95
"RF01480","Listeria sRNA rli52",95
"RF01520","caulobacter sRNA CC0734",95
"RF01521","caulobacter sRNA CC1840",95
"RF01717","PhotoRC-II RNA",95
"RF01871","Metastasis associated lung adenocarcinoma transcript 1",95
"RF01916","microRNA mir-988",95
"RF02029","sraA",95
"RF02166","Pvt1 oncogene conserved region 3",95
"RF02226","Xanthomonas sRNA sX7",95
"RF02240","Xanthomonadaceae sRNA Xoo1",95
"RF02244","microRNA mir-785",95
"RF02428","Streptococcus sRNA SpF11",95
"RF02493","Giardia U4 spliceosomal RNA",95
"RF02688","RAGATH-13 RNA",95
"RF02896","Staphylococcus sRNA 774",95
"RF03009","malK-III RNA",95
"RF03020","RT-17 RNA",95
"RF02824","Legionella RNA 10",94
"RF00033","MicF RNA",94
"RF00135","Small nucleolar RNA Z223",94
"RF00242","ctRNA",94
"RF00267","Small nucleolar RNA R64/Z200 family",94
"RF00292","Small nucleolar RNA TBR5",94
"RF00301","Small nucleolar RNA Z256",94
"RF00343","Small nucleolar RNA Z122",94
"RF00504","Glycine riboswitch",94
"RF00510","Tombusvirus internal replication element (IRE)",94
"RF00593","Small nucleolar RNA U83B",94
"RF00637","microRNA mir-276",94
"RF00710","microRNA mir-44",94
"RF00766","microRNA mir-335",94
"RF00769","microRNA mir-331",94
"RF00775","microRNA mir-432",94
"RF00887","microRNA mir-802",94
"RF00941","microRNA mir-434",94
"RF00946","microRNA mir-1225",94
"RF00970","microRNA mir-648",94
"RF01010","microRNA mir-632",94
"RF01021","microRNA mir-558",94
"RF01023","microRNA mir-940",94
"RF01037","microRNA mir-644",94
"RF01041","microRNA mir-604",94
"RF01286","Small nucleolar RNA snoR26",94
"RF01383","GRIK4 3 prime UTR element",94
"RF01401","rseX Hfq binding RNA",94
"RF01409","STnc250 Hfq binding RNA",94
"RF01797","Fst antitoxin sRNA",94
"RF02011","microRNA mir-575",94
"RF02013","microRNA mir-1280",94
"RF02460","Satellite tobacco necrosis virus cap-independent translation element",94
"RF02623","Brucella sRNA 140",94
"RF00029","Group II catalytic intron",93
"RF00328","Small nucleolar RNA Z161/Z228",93
"RF00345","Small nucleolar RNA snoR1",93
"RF00435","Repression of heat shock gene expression (ROSE) element",93
"RF00659","microRNA mir-365",93
"RF00697","microRNA mir-186",93
"RF00739","microRNA MIR476",93
"RF00748","microRNA mir-433",93
"RF00754","microRNA mir-279",93
"RF00788","microRNA mir-287",93
"RF00957","microRNA mir-663",93
"RF01201","Small nucleolar RNA snR40",93
"RF01499","A. fumigatus snoRNA Afu_191",93
"RF01507","A. fimigatus snoRNA Afu_298",93
"RF01733","atoC RNA",93
"RF01749","pan motif",93
"RF01934","Bithoraxoid conserved region 6",93
"RF02216","ZNFX1 antisense RNA 1 conserved region 2",93
"RF02239","Xanthomonas sRNA asX6",93
"RF02379","Cia-dependent small RNA csRNA1",93
"RF02455","Dianthovirus RNA2 cap-independent translation element",93
"RF02776","SodC 5' UTR thermometer",93
"RF02797","Plasmid-encoded Shigella sRNA A",93
"RF02953","DUF1874 RNA",93
"RF02999","ivy-DE RNA",93
"RF03040","PGK RNA",93
"RF03074","Rhodo-rpoB RNA",93
"RF02752","ES056 sRNA",92
"RF02833","Streptomyces RNA 3202",92
"RF02882","Mesorhizobail RNA 36",92
"RF03029","RT-8 RNA",92
"RF03080","RT-9 RNA",92
"RF00042","CopA-like RNA",92
"RF00108","Small nucleolar RNA SNORD116",92
"RF00176","Tombusvirus 3' UTR region IV",92
"RF00256","mir-196 microRNA precursor family",92
"RF00310","Small nucleolar RNA Z165",92
"RF00314","Small nucleolar RNA Z182",92
"RF00371","sroE RNA",92
"RF00472","Small nucleolar RNA snR55/Z10",92
"RF00486","mir-129 microRNA precursor family",92
"RF00698","microRNA mir-489",92
"RF00706","microRNA mir-263",92
"RF00720","microRNA mir-317",92
"RF00742","microRNA MIR162_2",92
"RF00896","microRNA mir-787",92
"RF00903","microRNA mir-359",92
"RF01067","ATPC RNA motif",92
"RF01195","Small nucleolar RNA snR52",92
"RF01196","Small nucleolar RNA Z30a",92
"RF01206","Small nucleolar RNA snoR109",92
"RF01284","Small nucleolar RNA snoR8a",92
"RF01424","small nucleolar RNA snoR118",92
"RF01509","A. fumigatus snoRNA Afu_300",92
"RF01860","A. fumigatus snoRNA Afu_455",92
"RF01900","microRNA mir-2024",92
"RF01996","microRNA mir-995",92
"RF02233","Xanthomonas sRNA sX14/Xoo3",92
"RF02387","Staphylococcus sRNA sau-27",92
"RF02506","Rhizobiales sRNA Atu_Ti1",92
"RF02568","Escherichia coli small RNA (uptR) gene",92
"RF00094","Hepatitis delta virus ribozyme",91
"RF00213","Small nucleolar RNA R38",91
"RF00285","Z6 small nucleolar RNA",91
"RF00300","Small nucleolar RNA Z221/R21b",91
"RF00338","Small nucleolar RNA snR53",91
"RF00604","Small nucleolar RNA SNORD88",91
"RF00652","microRNA MIR478",91
"RF00708","microRNA mir-450",91
"RF00757","microRNA mir-275",91
"RF00762","microRNA mir-412",91
"RF00764","microRNA mir-191",91
"RF00895","microRNA mir-786",91
"RF00901","microRNA MIR845_1",91
"RF00921","microRNA mir-665",91
"RF01045","microRNA mir-544",91
"RF01194","Small nucleolar RNA sn2903",91
"RF01384","Invasion gene-associated RNA",91
"RF01428","small nucleolar RNA snoR128",91
"RF01750","ZMP/ZTP riboswitch",91
"RF01852","Selenocysteine transfer RNA",91
"RF01930","Bithoraxoid conserved region 2",91
"RF02038","SPRY4-IT1 conserved region 1",91
"RF02348","Trans-activating crRNA",91
"RF02619","Brucella sRNA 115",91
"RF02877","Neisseria metabolic switch regulator b (RcoF1/NgncR163)",91
"RF02935","che1 RNA",91
"RF02963","DUF3800-IV RNA",91
"RF02790","sodF sRNA",90
"RF02967","DUF3800-VII RNA",90
"RF00214","Retrovirus direct repeat 1 (dr1)",90
"RF00246","mir-135 microRNA precursor family",90
"RF00247","mir-160 microRNA precursor family",90
"RF00317","Small nucleolar RNA Z163/Z177 family",90
"RF00332","Small nucleolar RNA Z266",90
"RF00349","Small nucleolar RNA R11/Z151",90
"RF00351","Small nucleolar RNA R20",90
"RF00386","Enterovirus 5' cloverleaf cis-acting replication element",90
"RF00456","mir-34 microRNA precursor family",90
"RF00581","Small nucleolar SNORD12/SNORD106",90
"RF00691","microRNA mir-146",90
"RF00711","microRNA mir-449",90
"RF00777","microRNA mir-541",90
"RF00807","microRNA mir-314",90
"RF01030","microRNA mir-422",90
"RF01193","Small nucleolar RNA snoR20a",90
"RF01302","SnoRNA U36a",90
"RF01518","NoRC associated RNA, pRNA",90
"RF01594","small nucleolar RNA snoR18",90
"RF01710","Lacto-usp RNA",90
"RF01776","RNA anti-toxin A",90
"RF01827","SAR11_0636 sRNA",90
"RF01903","microRNA mir-500",90
"RF01940","microRNA hvt-mir-H9",90
"RF02015","microRNA mir-1287",90
"RF02106","Deleted in lymphocytic leukemia 2 conserved region 2",90
"RF02620","Brucella sRNA 119",90
"RF00528","Small nucleolar RNA Me28S-Gm1083",89
"RF00575","Small nucleolar RNA SNORD70",89
"RF00611","Small nucleolar RNA SNORD111",89
"RF00654","microRNA mir-216",89
"RF00672","microRNA mir-190",89
"RF00727","microRNA bantam",89
"RF00745","microRNA mir-499",89
"RF00814","microRNA mir-316",89
"RF00829","microRNA mir-149",89
"RF00867","microRNA mir-BART5",89
"RF00907","microRNA mir-941",89
"RF00966","microRNA mir-676",89
"RF01180","Small nucleolar RNA snoR110",89
"RF01184","Small nucleolar RNA snR79",89
"RF01190","Small nucleolar RNA snR50",89
"RF01413","microRNA miR-430",89
"RF01883","Taurine upregulated gene 1 conserved region 2",89
"RF02016","microRNA mir-1183",89
"RF02301","Tetrahymena snoRNA TtnuCD25",89
"RF02367","Cyanobacterial functional RNA 20",89
"RF02474","Small nucleolar RNA GlsR5",89
"RF02497","Rhizobiales sRNA Atu_C10",89
"RF02507","Rhizobiales sRNA Atu_Ti3",89
"RF02626","Wolbachia sRNA 59",89
"RF02711","TeloSII non coding RNA 49",89
"RF02772","AilA 5' UTR thermometer",89
"RF03061","uxuA RNA",89
"RF03109","Thermales-rpoB RNA",89
"RF02773","TrxA 5' UTR thermometer",88
"RF02987","GA-cis RNA",88
"RF03115","KDPG-aldolase RNA",88
"RF00053","mir-7 microRNA precursor",88
"RF00073","mir-156 microRNA precursor",88
"RF00211","Small nucleolar RNA SNORD35",88
"RF00329","Small nucleolar RNA Z162",88
"RF00359","Small nucleolar RNA Z102/R77",88
"RF00653","microRNA mir-22",88
"RF00662","microRNA mir-132",88
"RF00675","microRNA mir-145",88
"RF00732","microRNA mir-305",88
"RF00773","microRNA mir-298",88
"RF00841","microRNA mir-384",88
"RF00853","microRNA mir-304",88
"RF00876","microRNA mir-684",88
"RF00877","microRNA mir-592",88
"RF00917","microRNA mir-708",88
"RF01024","microRNA mir-944",88
"RF01314","microRNA mir-1227",88
"RF01425","small nucleolar RNA snoR121",88
"RF01576","D. discoideum snoRNA DdR8",88
"RF01585","small nucleolar RNA snoR07",88
"RF01625","Caenorhabditis snoRNA ceN28",88
"RF01740","gyrA RNA",88
"RF01823","rpsL sRNA",88
"RF01898","microRNA mir-363",88
"RF01937","microRNA mir-2780",88
"RF02092","mir-2970 microRNA precursor",88
"RF02151","MER1 repeat containing imprinted transcript 1 conserved region 1",88
"RF02171","RFPL3 antisense RNA 1 conserved region 1",88
"RF02539","Plant small nucleolar RNA SNOR75",88
"RF02589","S. pyogenes small RNA 779816",88
"RF02621","Brucella sRNA 120",88
"RF00054","Small nucleolar RNA SNORD25",87
"RF00079","OmrA-B family",87
"RF00160","Small nucleolar RNA Z159/U59",87
"RF00208","Small nucleolar RNA R72",87
"RF00248","mir-148/mir-152 microRNA precursor family",87
"RF00446","mir-133 microRNA precursor family",87
"RF00473","Small nucleolar RNA snR54",87
"RF00584","Small nucleolar RNA SNORD105",87
"RF00639","microRNA mir-515",87
"RF00705","microRNA mir-202",87
"RF00848","microRNA mir-61",87
"RF01051","Cyclic di-GMP-I riboswitch",87
"RF01185","Small nucleolar RNA snR75",87
"RF01189","Small nucleolar RNA sn1502",87
"RF01192","Small nucleolar RNA SNORD11B",87
"RF01386","isrB Hfq binding RNA",87
"RF01410","BsrC",87
"RF01421","small nucleolar RNA snoR114",87
"RF01695","C4 antisense RNA",87
"RF01724","SAM-Chlorobi RNA",87
"RF01842","mycoplasma ribosomal frameshift element",87
"RF01886","Heat shock gene hsromega conserved region 2",87
"RF01910","microRNA mir-506",87
"RF02018","microRNA mir-1207",87
"RF02217","ZNFX1 antisense RNA 1 conserved region 3",87
